==PROF== Connected to process 816499 (/root/gpu_matmul_profile)
profiled kernel=reg2x2 M=2048 N=2048 K=2048 launches=3
==PROF== Disconnected from process 816499
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","2.33"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","904096"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","33.40"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","86.26"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__occupancy_limit_registers","block","6"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__occupancy_limit_shared_mem","block","12"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","4096"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","97.69"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","35.39"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","85.60"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","90.22"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","4.37"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","4.49"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio","inst","0.10"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","9.68"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio","inst","2.88"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","2.04"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_wait_per_issue_active.ratio","inst","0.91"
"0","816499","gpu_matmul_profile","127.0.0.1","matmul_reg2x2(const float *, const float *, float *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__issue_active.avg.pct_of_peak_sustained_active","%","41.46"
