==PROF== Connected to process 816380 (/root/gpu_matmul_profile)
profiled kernel=tiled M=2048 N=2048 K=2048 launches=3
==PROF== Disconnected from process 816380
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.77"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","2742080"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","%","77.39"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__occupancy_limit_registers","block","1"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__occupancy_limit_shared_mem","block","1"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__registers_per_thread","register/thread","38"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","8192"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","97.72"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","lts__throughput.avg.pct_of_peak_sustained_elapsed","%","11.59"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","77.39"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","66.65"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","2.59"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","6.54"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio","inst","0.20"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","21.06"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio","inst","3.32"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","0.64"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__average_warps_issue_stalled_wait_per_issue_active.ratio","inst","1.83"
"0","816380","gpu_matmul_profile","127.0.0.1","matmul_tiled(const float *, const float *, float *, int, int, int)","1","7","(32, 32, 1)","(64, 64, 1)","0","12.0","Command line profiler metrics","smsp__issue_active.avg.pct_of_peak_sustained_active","%","21.32"
